_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
49	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Sargento, ~|}[	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	6	15	8	720
50	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Sargento, #^>	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	5	20	8	800
51	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Sargento, {})!	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	2	25	8	400
52	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Sargento, ^[{	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""				0
53	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, #_|/	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
54	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Jose Pereira, .<^&	Dois Unidos	Alto da Esperanca	""	2021-04-05T00:00:00	""				0
55	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Vale do Senhor, 9<-%	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	20	8	160
56	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Vale do Senhor, @}>	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
57	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Vale do Senhor, $!>=	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
58	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Sempre Vida, >#'\	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
59	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Sempre Vida, ?_$.	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	20	8	160
60	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Sempre Viva, `=-[	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
61	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Sempre Viva, #$[	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	2	15	8	240
62	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Sempre Viva, .[?	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	5	15	8	600
63	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Vale do Senhor, %$<!	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
64	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, 9<-%	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
65	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, .[?	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
66	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, `=-[	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
67	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Artur Nogueira, #$[	Dois Unidos	Alto do Maracana	""	2021-04-05T00:00:00	""				0
68	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Expedicionario Jesuino Ventura, .[?	Dois Unidos	Alto do Agave	""	2021-04-05T00:00:00	""				0
69	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Expedicionario Joao Maria, #_|/	Dois Unidos	Alto do Agave	""	2021-04-05T00:00:00	""				0
70	Norte	2021	Abril	2021-04-05T00:00:00	Desabamento Parcial de Obras de Contenção / Drenagem	Vistoria	"Rua Lidia Rodrigues, ""#*9"	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
71	Norte	2021	Abril	2021-04-05T00:00:00	""	Vistoria	"Rua Rodrigues Alves, +?""]"	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	Encaminhar para Colocacao de Lonas				0
72	Norte	2021	Abril	2021-04-05T00:00:00	""	Vistoria	"Rua Corrego do Deodato, #""#~"	Agua Fria	Corrego do Deodato	R3	2021-04-05T00:00:00	""				0
73	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Beatriz, /@9=	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
74	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua da Vitoria, ~|}[	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
75	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, #$[	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
76	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alto do Bonito, #^>	Agua Fria	Alto do Pereirinha	""	2021-04-05T00:00:00	""				0
77	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua do Fragoso, ^[{	Agua Fria	Corrego da Padaria	""	2021-04-05T00:00:00	""				0
78	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, .<^&	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
79	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, %$<!	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
80	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, 9<-%	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
81	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, @}>	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
82	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, $!>=	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
83	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, >#'\	Agua Fria	Alto do Pascoal	R2	2021-04-05T00:00:00	""				0
84	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Lidia Rodrigues Alves, ?_$.	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
85	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua America Cisneiros, {})!	Agua Fria	Corrego da Padaria	""	2021-04-05T00:00:00	""				0
86	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, %$<!	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
87	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, .<^&	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
88	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, ^[{	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
89	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Taquaral, #""#~"	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
90	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Sao Bento, /@9=	Macaxeira 	Macaxeira	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
91	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	4ª Travessa do Comissario, ~|}[	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
92	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Travessa Padre Severino, #^>	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
93	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Douradinha, {})!	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
94	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Santa Maria Gorete, ^[{	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
95	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Jose Carneiro Lins, .<^&	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
96	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Curitiba, %$<!	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
97	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Corrego do Arcanjo, +?""]"	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
98	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Pedra Lavrada, 9<-%	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
99	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Antoonio Tertuliano C. Oliveria, $!>=	Macaxeira 	Macaxeira	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
100	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alto Jardim Progresso, >#'\	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
101	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Francisco Gomes Machado, ?_$.	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
102	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, `=-[	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
103	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, #$[	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
104	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, .[?	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
105	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, #_|/	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
106	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Corrego do Euclides, ""#*9"	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
107	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Antonioi Tertuliano C. Oliveira, @}>	Macaxeira 	Macaxeira	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
108	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Corrego do Euclides, +?""]"	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
109	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Tereza Carneiro, ""#*9"	Macaxeira 	Macaxeira	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
110	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Olimpio, .[?	Casa Amarela 	Nao Cadastrada	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
111	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alambari, #_|/	Alto Jose Bonifacio 	Alto Jose Bonifacio	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
112	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Corrego Sao Domingos Savio, ""#*9"	Alto Jose Bonifacio 	Corrego Sao Domingos Savio	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
113	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Chafariz, +?""]"	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
114	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"1ª Travessa Arandu, #""#~"	Morro da Conceicao	Morro da Conceicao	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
115	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	1ª Travessa Arandu, /@9=	Morro da Conceicao	Morro da Conceicao	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
116	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Sempre Viva, ~|}[	Macaxeira 	Macaxeira	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
117	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua da Betinha, #^>	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
118	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Subida Barao de Camaqua, {})!	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
119	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua A, #_|/	Nova Descoberta	Corrego do Eucalipto	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
120	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Enedina, ^[{	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
121	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alto Santa Luzia, %$<!	Nova Descoberta	Nova Descoberta	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
122	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alto Jose Bonifacio, 9<-%	Alto Jose Bonifacio 	Alto Jose Bonifacio	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
123	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Diadema, @}>	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
124	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Diadema, $!>=	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
125	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Avenida Joselia, >#'\	Nova Descoberta	Corrego da Joselia	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
126	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Estreliana, ?_$.	Nao Informado	Alto Jose do Pinho	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
127	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Humberto Carneiro, `=-[	Casa Amarela 	Nao Cadastrada	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
128	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Santana, #$[	Alto Jose Bonifacio 	Alto Jose Bonifacio	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
129	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Itabora, .<^&	Vasco da Gama 	Vasco da Gama	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
130	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Travessa Sempre Viva, #_|/	Dois Unidos	Vale do Senhor	""	2021-04-05T00:00:00	""	1	15	8	120
131	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Corrego do Euclides, #""#~"	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
132	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, ~|}[	Alto Jose Bonifacio 	Corrego do Euclides	R3	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
133	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, .<^&	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
134	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, %$<!	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
135	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Corrego do Euclides, 9<-%	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
